hodges_list,p_no,preferred_name,date,verbatim_name,count
3688,51a0364,Clepsis peritana (Clemens),1998-04-26,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-05-04,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-05-10,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-05-23,Clepsis peritana (Clem.),3
3688,51a0364,Clepsis peritana (Clemens),1998-05-24,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-05-30,Clepsis peritana (Clem.),3
3688,51a0364,Clepsis peritana (Clemens),1998-05-31,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-06-01,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-06-05,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-06-08,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-06-13,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-06-17,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-06-19,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-06-26,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-06-29,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-07-03,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-07-05,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-07-07,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-07-13,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-07-14,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-07-16,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-07-24,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-07-26,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-08-01,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-08-04,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-08-06,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-08-13,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-08-16,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-08-19,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-08-21,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-08-26,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-08-29,Clepsis peritana (Clem.),3
3688,51a0364,Clepsis peritana (Clemens),1998-08-31,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-03,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-05,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-10,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-13,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-16,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-09-20,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-22,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-09-24,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-10-01,Clepsis peritana (Clem.),3
3688,51a0364,Clepsis peritana (Clemens),1998-10-03,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-10-06,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-10-12,Clepsis peritana (Clem.),4
3688,51a0364,Clepsis peritana (Clemens),1998-10-17,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-10-19,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-10-26,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-11-03,Clepsis peritana (Clem.),3
3736,51a0449,Platynota stultana Walsingham,1998-04-18,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-04-20,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-04-21,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-04-26,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-04-27,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-05-22,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-06-13,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-06-14,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-06-17,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-06-26,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-07-03,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-07-05,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-07-07,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-07-13,Platynota stultana Wlsm.,5
3736,51a0449,Platynota stultana Walsingham,1998-07-14,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-07-16,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-07-22,Platynota stultana Wlsm.,3
3736,51a0449,Platynota stultana Walsingham,1998-07-26,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-08-01,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-08-04,Platynota stultana Wlsm.,3
3736,51a0449,Platynota stultana Walsingham,1998-08-06,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-08-13,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-08-16,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-08-19,Platynota stultana Wlsm.,2
3736,51a0449,Platynota stultana Walsingham,1998-08-23,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-08-26,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-08-29,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-08-31,Platynota stultana Wlsm.,3
3736,51a0449,Platynota stultana Walsingham,1998-09-03,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-09-16,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-09-20,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-09-22,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-09-28,Platynota stultana Wlsm.,1
3736,51a0449,Platynota stultana Walsingham,1998-10-19,Platynota stultana Wlsm.,1
4775,80a1341,Petrophila jaliscalis (Schaus),1998-10-19,Petrophila jaliscalis (Schauss),1
4780,80a1346,Petrophila confusalis (Walker),1998-08-29,Petrophila confusalis (Wlk.),1
NA,NA,Petrophila jalicalis or confusalis (not det.),1998-07-28,Petrophila jalicalis or confusalis (not det.),1
NA,NA,Petrophila jalicalis or confusalis (not det.),1998-10-17,Petrophila jalicalis or confusalis (not det.),1
4826a,80a1156a,Mimoschinia rufofascialis novalis (Grote),1998-07-14,Mimoschinia rufofascialis novalis (Steph.),1
4975,80a0742,Achyra rantalis (Guenée),1998-08-23,Achyra rantalis (Gn.),1
4975,80a0742,Achyra rantalis (Guenée),1998-09-10,Achyra rantalis (Gn.),1
4976,80a0743,Achyra occidentalis (Packard),1998-09-13,Achyra occidentalis (Packard),1
NA,NA,Achyra sp. (one of the two above),1998-08-04,Achyra sp.(one of the two above),1
4992,80a0759,Uresiphita reversalis (Guenée),1998-10-19,Uresiphita reversalis (Gn.),1
5052,80a0820,Pyrausta californicalis (Packard),1998-04-20,Pyrausta californicalis (Packard),1
5052,80a0820,Pyrausta californicalis (Packard),1998-04-21,Pyrausta californicalis (Packard),2
5052,80a0820,Pyrausta californicalis (Packard),1998-05-23,Pyrausta californicalis (Packard),1
5052,80a0820,Pyrausta californicalis (Packard),1998-06-29,Pyrausta californicalis (Packard),1
5052,80a0820,Pyrausta californicalis (Packard),1998-09-03,Pyrausta californicalis (Packard),1
5052,80a0820,Pyrausta californicalis (Packard),1998-09-16,Pyrausta californicalis (Packard),1
5070,80a0839,Pyrausta laticlavia (Grote & Robinnson),1998-04-16,Pyrausta laticlavia (G. & R.),1
